TransactionID,TransactionDate,PreviousTransactionDate,AccountID,CustomerAge,CustomerOccupation,RecipientAccountID,TransactionAmount,AccountBalance,TransactionType,Channel,Location,Location_Original_US,BPS_RegionCode,DeviceID,IP Address,MerchantID,TransactionDuration,LoginAttempts,IsFraud,FraudType,ThreatIntel_Flag,AnalystStatus
TX000001,2024-11-04 8:08:08,2023-04-11 16:29:14,AC00128,70.0,Doctor,REC-0184,14.09,5112.21,Debit,ATM,Tangerang Selatan,San Diego,3674,D000380,162.198.218.92,M015,81.0,1.0,0,None,False,Auto-Approved
TX000002,2024-11-04 8:09:35,2023-06-27 16:44:19,AC00455,68.0,Doctor,REC-0177,376.24,13758.91,Debit,ATM,Jakarta Utara,Houston,3175,D000051,13.149.61.4,M052,141.0,1.0,0,None,False,Auto-Approved
TX000003,2024-11-04 8:07:04,2023-07-10 18:16:08,AC00019,19.0,Student,REC-0136,126.29,1122.35,Debit,Online,Semarang,Mesa,3374,D000235,215.97.143.157,M009,56.0,1.0,0,None,True,Auto-Approved
TX000004,2024-11-04 8:09:06,2023-05-05 16:32:11,AC00070,26.0,Student,REC-0023,184.5,8569.06,Debit,Online,Mataram,Raleigh,5271,D000187,200.13.225.150,M002,25.0,1.0,0,None,False,Auto-Approved
TX000005,2024-11-04 8:06:39,2023-10-16 17:51:24,AC00411,45.0,Student,REC-0236,13.45,7429.4,Credit,Online,Banda Aceh,Atlanta,1171,D000308,65.164.3.100,M091,198.0,1.0,0,None,True,Cleared
TX000006,2024-11-04 8:06:36,2023-04-03 17:15:01,AC00393,18.0,Student,REC-0275,92.15,781.68,Debit,ATM,Bengkulu,Oklahoma City,1771,D000579,117.67.192.211,M054,172.0,1.0,0,None,False,Auto-Approved
TX000007,2024-11-04 8:10:09,2023-02-15 16:36:48,AC00199,37.0,Doctor,REC-0064,7.08,13316.71,Credit,ATM,Palangka Raya,Seattle,6271,D000241,140.212.253.222,M019,139.0,1.0,0,None,False,Auto-Approved
TX000008,2024-11-04 8:10:55,2023-05-08 17:47:59,AC00069,67.0,Retired,REC-0194,171.42,2796.24,Credit,Branch,Depok,Indianapolis,3276,D000500,92.214.76.157,M020,291.0,1.0,0,None,False,Cleared
TX000009,2024-11-04 8:11:14,2023-03-21 16:59:46,AC00135,51.0,Engineer,REC-0041,106.23,9095.14,Credit,Branch,Jakarta Timur,Detroit,3172,D000690,24.148.92.177,M035,86.0,1.0,0,None,False,Auto-Approved
TX000010,2024-11-04 8:06:32,2023-03-31 16:06:57,AC00385,55.0,Doctor,REC-0283,815.96,1021.88,Debit,ATM,Manado,Nashville,7171,D000199,32.169.88.41,M007,120.0,1.0,0,None,False,Auto-Approved
TX000011,2024-11-04 8:06:45,2023-03-14 16:46:10,AC00150,52.0,Engineer,REC-0151,17.78,7599.52,Credit,Online,Bandar Lampung,Albuquerque,1871,D000205,213.15.9.253,M073,59.0,1.0,0,None,False,Auto-Approved
