TransactionID,Split,TransactionAmount,AccountBalance,TransactionDuration,LoginAttempts,AmountToBalanceRatio,HoursSincePreviousTransaction,TransactionAmountZScore,RecipientUniqueSendersTotal,DeviceUniqueAccountsTotal,IPUniqueAccountsTotal,AccountTxCount24h,AccountAmountSum24h,ThreatIntelFlagInt,RuleRiskScore,FraudScore_Probability_Seed,IsFraud,AnomalyLabel_Seed,TransactionAmount_RobustZ,AccountBalance_RobustZ,TransactionDuration_RobustZ,LoginAttempts_RobustZ,AmountToBalanceRatio_RobustZ,HoursSincePreviousTransaction_RobustZ,RecipientUniqueSendersTotal_RobustZ
TX000001,train,14.09,5112.21,81.0,1.0,0.0027561465589246137,13743.648333333333,-0.9720805266815915,7,6,3,2.0,1823.5,0,20.0,0.1826,0,0,-0.678367,0.097534,-0.444708,0.0,-0.095441,0.817259,-0.724915
TX000002,train,376.24,13758.91,141.0,1.0,0.027345189408172595,11895.42111111111,0.2732724545296658,12,5,4,3.0,1774.6599999999999,0,30.0,0.229,0,0,0.566986,2.328019,0.416017,0.0,-0.047263,0.094202,1.087372
TX000003,train,126.29,1122.35,56.0,1.0,0.11252283155878293,11581.84888888889,-0.5862497811565243,17,5,6,0.0,0.0,1,60.0,0.5138,0,1,-0.292537,-0.931682,-0.803344,0.0,0.119626,-0.028472,2.899659
TX000004,train,184.5,8569.06,25.0,1.0,0.021530949719105713,13167.615277777777,-0.3860785895610327,10,5,8,3.0,1284.19,0,40.0,0.3585,0,0,-0.092366,0.989256,-1.248052,0.0,-0.058655,0.591905,0.362457
TX000005,train,13.45,7429.4,198.0,1.0,0.0018103749966349907,9230.254166666668,-0.9742813437683655,10,3,4,0.0,0.0,1,50.0,0.3662,0,0,-0.680568,0.695271,1.233707,0.0,-0.097294,-0.948454,0.362457
TX000006,test,92.15,781.68,172.0,1.0,0.11788711493194147,13934.859722222222,-0.7036496176291249,10,4,3,1.0,392.05,0,20.0,0.1424,0,0,-0.409937,-1.019561,0.860726,0.0,0.130136,0.892064,0.362457
TX000007,train,7.08,13316.71,139.0,1.0,0.0005316628506590593,15063.555833333334,-0.996186351335163,5,4,4,0.0,0.0,0,10.0,0.0982,0,0,-0.702473,2.21395,0.387327,0.0,-0.099799,1.333628,-1.449829
TX000008,train,171.42,2796.24,291.0,1.0,0.061303750751008496,13094.382222222222,-0.43105778877197637,5,2,7,6.0,1446.1599999999999,0,10.0,0.0871,0,0,-0.137345,-0.499889,2.567832,0.0,0.019272,0.563255,-1.449829
TX000009,train,106.23,9095.14,86.0,1.0,0.011679864191205414,14247.191111111111,-0.6552316417200968,12,6,5,1.0,39.66,0,30.0,0.2546,0,0,-0.361519,1.124962,-0.372981,0.0,-0.077957,1.014253,1.087372
TX000010,train,815.96,1021.88,120.0,1.0,0.7984890593807492,14007.993055555555,1.7853713442113284,13,4,6,0.0,0.0,0,40.0,0.3137,0,0,2.079084,-0.957599,0.114763,0.0,1.463648,0.920675,1.449829
TX000011,train,17.78,7599.52,59.0,1.0,0.0023396214497757753,14415.343055555555,-0.9593914406656602,7,2,5,1.0,470.62,0,10.0,0.117,0,0,-0.665678,0.739155,-0.760308,0.0,-0.096257,1.080037,-0.724915
TX000012,train,190.02,1528.81,173.0,1.0,0.12429275057070534,15278.62,-0.3670965421876069,14,7,4,0.0,0.0,0,30.0,0.2744,0,0,-0.073383,-0.826833,0.875071,0.0,0.142687,1.417765,1.812287
TX000013,train,494.52,1620.02,111.0,1.0,0.30525549067295465,12374.78611111111,0.6800109623790859,10,7,5,0.0,0.0,0,30.0,0.2567,0,0,0.973724,-0.803304,-0.014345,0.0,0.497249,0.281738,0.362457
TX000014,test,781.76,189.69,123.0,1.0,4.121250461278929,8391.464166666667,1.6677651811368424,10,4,5,0.0,0.0,0,55.0,0.4832,0,1,1.961478,-1.172269,0.1578,0.0,7.973971,-1.276603,0.362457
TX000015,train,166.99,299.93,134.0,1.0,0.55676324475711,15111.27,-0.4462915695444901,9,7,5,3.0,750.6999999999999,0,20.0,0.1867,0,0,-0.152579,-1.143832,0.315599,0.0,0.990031,1.352295,0.0
TX000016,train,465.45,3465.54,129.0,1.0,0.1343080732007133,7863.8133333333335,0.580045723765773,11,4,7,1.0,206.84,0,20.0,0.1535,0,0,0.873759,-0.327238,0.243872,0.0,0.16231,-1.483028,0.724915
TX000017,train,555.8,1131.26,158.0,1.0,0.4913105740501741,8895.246111111112,0.8907391984376964,7,6,7,0.0,0.0,0,20.0,0.1842,0,0,1.184452,-0.929384,0.65989,0.0,0.861789,-1.079515,-0.724915
TX000018,train,492.93,5109.97,234.0,1.0,0.0964643628044783,7813.660277777778,0.6745433074291318,9,4,2,5.0,1586.2999999999997,1,40.0,0.311,0,0,0.968256,0.096956,1.750142,0.0,0.088163,-1.502649,0.0
TX000019,validation,18.68,7948.37,106.0,1.0,0.002350167392811356,14919.253055555555,-0.9562965416373841,12,5,4,7.0,1253.43,0,30.0,0.277,0,0,-0.662583,0.829144,-0.086073,0.0,-0.096236,1.277175,1.087372
