CaseID,TransactionID,TransactionDate,AccountID,RecipientAccountID,TransactionAmount,Location,BPS_RegionCode,IsFraud,FraudType,AnalystStatus,RecommendedDecision_Seed,ReviewPriority_Seed,SLAHours_Seed,EscalationTeam_Seed,ThreatIntelFlagInt,FraudScore_Probability_Seed,RuleRiskLevel,Split
CASE-000001,TX000001,2024-11-04 8:08:08,AC00128,REC-0184,14.09,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1826,low,train
CASE-000002,TX000002,2024-11-04 8:09:35,AC00455,REC-0177,376.24,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.229,medium,train
CASE-000003,TX000003,2024-11-04 8:07:04,AC00019,REC-0136,126.29,Semarang,3374,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.5138,high,train
CASE-000004,TX000004,2024-11-04 8:09:06,AC00070,REC-0023,184.5,Mataram,5271,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3585,medium,train
CASE-000005,TX000005,2024-11-04 8:06:39,AC00411,REC-0236,13.45,Banda Aceh,1171,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.3662,medium,train
CASE-000006,TX000006,2024-11-04 8:06:36,AC00393,REC-0275,92.15,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1424,low,test
CASE-000007,TX000007,2024-11-04 8:10:09,AC00199,REC-0064,7.08,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0982,low,train
CASE-000008,TX000008,2024-11-04 8:10:55,AC00069,REC-0194,171.42,Depok,3276,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0871,low,train
CASE-000009,TX000009,2024-11-04 8:11:14,AC00135,REC-0041,106.23,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2546,medium,train
CASE-000010,TX000010,2024-11-04 8:06:32,AC00385,REC-0283,815.96,Manado,7171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3137,medium,train
CASE-000011,TX000011,2024-11-04 8:06:45,AC00150,REC-0151,17.78,Bandar Lampung,1871,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.117,low,train
CASE-000012,TX000012,2024-11-04 8:07:12,AC00459,REC-0186,190.02,Banjarmasin,6371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2744,medium,train
CASE-000013,TX000013,2024-11-04 8:08:38,AC00392,REC-0296,494.52,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2567,medium,train
CASE-000014,TX000014,2024-11-04 8:07:06,AC00264,REC-0099,781.76,Banjarmasin,6371,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.4832,high,test
CASE-000015,TX000015,2024-11-04 8:10:09,AC00085,REC-0036,166.99,Jambi,1571,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1867,low,train
CASE-000016,TX000016,2024-11-04 8:12:19,AC00270,REC-0024,465.45,Palembang,1671,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1535,low,train
CASE-000017,TX000017,2024-11-04 8:07:35,AC00317,REC-0117,555.8,Bogor,3271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1842,low,train
CASE-000018,TX000018,2024-11-04 8:11:51,AC00359,REC-0149,492.93,Kendari,7471,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.311,medium,train
CASE-000019,TX000019,2024-11-04 8:12:01,AC00242,REC-0041,18.68,Bandar Lampung,1871,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.277,medium,validation
CASE-000020,TX000020,2024-11-04 8:09:20,AC00285,REC-0120,71.48,Kendari,7471,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.4138,medium,train
CASE-000021,TX000021,2024-11-04 8:09:24,AC00002,REC-0052,59.32,Denpasar,5171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3304,medium,train
CASE-000022,TX000022,2024-11-04 8:08:13,AC00014,REC-0195,85.77,Balikpapan,6471,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.478,high,train
CASE-000023,TX000023,2024-11-04 8:07:01,AC00095,REC-0143,52.2,Banda Aceh,1171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.5256,high,validation
CASE-000024,TX000024,2024-11-04 8:07:04,AC00453,REC-RING006,345.84,Yogyakarta,3471,1,Account Takeover (ATO),Closed-Confirmed Fraud,block_and_freeze,P2,8,ATO Response,1,0.6111,high,train
CASE-000025,TX000025,2024-11-04 8:07:09,AC00241,REC-0084,145.54,Mataram,5271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0843,low,train
CASE-000026,TX000026,2024-11-04 8:09:44,AC00041,REC-0190,7.49,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2462,medium,train
CASE-000027,TX000027,2024-11-04 8:11:38,AC00441,REC-0182,246.93,Padang,1371,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.5083,high,train
CASE-000028,TX000028,2024-11-04 8:11:59,AC00057,REC-0108,40.32,Batam,2171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1041,low,train
CASE-000029,TX000029,2024-11-04 8:11:22,AC00390,REC-0137,127.45,Balikpapan,6471,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4253,medium,train
CASE-000030,TX000030,2024-11-04 8:08:30,AC00313,REC-0037,56.17,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1058,low,train
CASE-000031,TX000031,2024-11-04 8:09:17,AC00367,REC-0088,28.31,Padang,1371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2285,low,train
CASE-000032,TX000032,2024-11-04 8:06:58,AC00291,REC-0274,59.12,Makassar,7371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0848,low,train
CASE-000033,TX000033,2024-11-04 8:11:13,AC00060,REC-0126,396.45,Kupang,5371,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3222,medium,train
CASE-000034,TX000034,2024-11-04 8:07:50,AC00359,REC-0084,877.81,Denpasar,5171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3547,medium,validation
CASE-000035,TX000035,2024-11-04 8:10:51,AC00365,REC-0237,255.26,Pontianak,6171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1904,low,train
CASE-000036,TX000036,2024-11-04 8:06:23,AC00267,REC-0195,124.76,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2832,medium,validation
CASE-000037,TX000037,2024-11-04 8:12:18,AC00404,REC-0139,78.13,Batam,2171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1722,low,train
CASE-000038,TX000038,2024-11-04 8:11:15,AC00202,REC-0286,649.28,Pekanbaru,1471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.154,low,train
CASE-000039,TX000039,2024-11-04 8:11:17,AC00478,REC-0113,795.31,Semarang,3374,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3144,medium,validation
CASE-000040,TX000040,2024-11-04 8:07:32,AC00405,REC-0167,335.63,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1913,low,train
CASE-000041,TX000041,2024-11-04 8:07:31,AC00421,REC-0029,328.47,Surakarta,3372,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1136,low,train
CASE-000042,TX000042,2024-11-04 8:11:45,AC00480,REC-0118,34.02,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2686,medium,train
CASE-000043,TX000043,2024-11-04 8:09:03,AC00120,REC-0017,241.42,Palu,7271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2384,medium,test
CASE-000044,TX000044,2024-11-04 8:08:03,AC00117,REC-0162,55.32,Jakarta Barat,3173,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1008,low,test
CASE-000045,TX000045,2024-11-04 8:09:53,AC00011,REC-0206,304.31,Jambi,1571,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1779,low,train
CASE-000046,TX002513,2024-11-04 8:11:12,AC00401,REC-0138,435.27,Jakarta Pusat,3171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1005,low,train
CASE-000047,TX000047,2024-11-04 8:10:33,AC00282,REC-0034,164.49,Makassar,7371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1968,low,train
CASE-000048,TX000048,2024-11-04 8:11:35,AC00439,REC-0109,510.24,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1806,low,validation
CASE-000049,TX000049,2024-11-04 8:07:24,AC00296,REC-0291,626.9,Palembang,1671,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.392,medium,train
CASE-000050,TX000050,2024-11-04 8:06:31,AC00471,REC-0162,22.01,Jayapura,9471,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4167,medium,train
CASE-000051,TX000051,2024-11-04 8:07:07,AC00159,REC-0109,425.34,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1822,low,test
CASE-000052,TX000052,2024-11-04 8:07:07,AC00482,REC-0256,424.56,Surabaya,3578,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1108,low,train
CASE-000053,TX000053,2024-11-04 8:06:45,AC00115,REC-0203,85.43,Bandung,3273,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2186,medium,train
CASE-000054,TX000054,2024-11-04 8:08:58,AC00055,REC-0235,169.5,Tangerang Selatan,3674,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.167,low,test
CASE-000055,TX000055,2024-11-04 8:10:42,AC00419,REC-0074,104.63,Surabaya,3578,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1632,low,train
CASE-000056,TX000056,2024-11-04 8:09:15,AC00374,REC-0136,316.95,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.239,medium,test
CASE-000057,TX000057,2024-11-04 8:09:57,AC00271,REC-0072,60.54,Kendari,7471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1681,low,train
CASE-000058,TX000058,2024-11-04 8:07:49,AC00456,REC-0127,292.56,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2924,medium,validation
CASE-000059,TX000059,2024-11-04 8:07:09,AC00143,REC-0288,386.52,Depok,3276,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1534,low,train
CASE-000060,TX000060,2024-11-04 8:11:37,AC00427,REC-0276,112.07,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1192,low,test
CASE-000061,TX000061,2024-11-04 8:11:37,AC00438,REC-0135,568.52,Depok,3276,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0529,low,validation
CASE-000062,TX000062,2024-11-04 8:11:03,AC00002,REC-0300,263.99,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0866,low,train
CASE-000063,TX000063,2024-11-04 8:08:09,AC00425,REC-0220,349.64,Balikpapan,6471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0991,low,train
CASE-000064,TX000064,2024-11-04 8:08:01,AC00325,REC-0299,601.4,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2697,medium,train
