EdgeID,Source,Target,SourceType,TargetType,EdgeType,TransactionID,TransactionDate,TransactionAmount,Channel,Location,BPS_RegionCode,IsFraud,FraudType,RiskScore,RuleRiskScore,Split
E-TX000001-TRANSFER_TO,ACC:AC00128,REC:REC-0184,Account,RecipientAccount,TRANSFER_TO,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000001-USES_DEVICE,ACC:AC00128,DEV:D000380,Account,Device,USES_DEVICE,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000001-USES_IP,ACC:AC00128,IP:162.198.218.92,Account,IP,USES_IP,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000001-PAYS_MERCHANT,ACC:AC00128,MER:M015,Account,Merchant,PAYS_MERCHANT,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000001-LOCATED_IN,ACC:AC00128,GEO:3674,Account,GeoRegion,LOCATED_IN,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000001-RECEIVES_IN_REGION,REC:REC-0184,GEO:3674,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000001,2024-11-04 8:08:08,14.09,ATM,Tangerang Selatan,3674,0,None,0.1826,20.0,train
E-TX000002-TRANSFER_TO,ACC:AC00455,REC:REC-0177,Account,RecipientAccount,TRANSFER_TO,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000002-USES_DEVICE,ACC:AC00455,DEV:D000051,Account,Device,USES_DEVICE,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000002-USES_IP,ACC:AC00455,IP:13.149.61.4,Account,IP,USES_IP,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000002-PAYS_MERCHANT,ACC:AC00455,MER:M052,Account,Merchant,PAYS_MERCHANT,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000002-LOCATED_IN,ACC:AC00455,GEO:3175,Account,GeoRegion,LOCATED_IN,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000002-RECEIVES_IN_REGION,REC:REC-0177,GEO:3175,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000002,2024-11-04 8:09:35,376.24,ATM,Jakarta Utara,3175,0,None,0.229,30.0,train
E-TX000003-TRANSFER_TO,ACC:AC00019,REC:REC-0136,Account,RecipientAccount,TRANSFER_TO,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000003-USES_DEVICE,ACC:AC00019,DEV:D000235,Account,Device,USES_DEVICE,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000003-USES_IP,ACC:AC00019,IP:215.97.143.157,Account,IP,USES_IP,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000003-PAYS_MERCHANT,ACC:AC00019,MER:M009,Account,Merchant,PAYS_MERCHANT,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000003-LOCATED_IN,ACC:AC00019,GEO:3374,Account,GeoRegion,LOCATED_IN,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000003-RECEIVES_IN_REGION,REC:REC-0136,GEO:3374,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000003,2024-11-04 8:07:04,126.29,Online,Semarang,3374,0,None,0.5138,60.0,train
E-TX000004-TRANSFER_TO,ACC:AC00070,REC:REC-0023,Account,RecipientAccount,TRANSFER_TO,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000004-USES_DEVICE,ACC:AC00070,DEV:D000187,Account,Device,USES_DEVICE,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000004-USES_IP,ACC:AC00070,IP:200.13.225.150,Account,IP,USES_IP,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000004-PAYS_MERCHANT,ACC:AC00070,MER:M002,Account,Merchant,PAYS_MERCHANT,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000004-LOCATED_IN,ACC:AC00070,GEO:5271,Account,GeoRegion,LOCATED_IN,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000004-RECEIVES_IN_REGION,REC:REC-0023,GEO:5271,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000004,2024-11-04 8:09:06,184.5,Online,Mataram,5271,0,None,0.3585,40.0,train
E-TX000005-TRANSFER_TO,ACC:AC00411,REC:REC-0236,Account,RecipientAccount,TRANSFER_TO,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000005-USES_DEVICE,ACC:AC00411,DEV:D000308,Account,Device,USES_DEVICE,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000005-USES_IP,ACC:AC00411,IP:65.164.3.100,Account,IP,USES_IP,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000005-PAYS_MERCHANT,ACC:AC00411,MER:M091,Account,Merchant,PAYS_MERCHANT,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000005-LOCATED_IN,ACC:AC00411,GEO:1171,Account,GeoRegion,LOCATED_IN,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000005-RECEIVES_IN_REGION,REC:REC-0236,GEO:1171,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000005,2024-11-04 8:06:39,13.45,Online,Banda Aceh,1171,0,None,0.3662,50.0,train
E-TX000006-TRANSFER_TO,ACC:AC00393,REC:REC-0275,Account,RecipientAccount,TRANSFER_TO,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000006-USES_DEVICE,ACC:AC00393,DEV:D000579,Account,Device,USES_DEVICE,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000006-USES_IP,ACC:AC00393,IP:117.67.192.211,Account,IP,USES_IP,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000006-PAYS_MERCHANT,ACC:AC00393,MER:M054,Account,Merchant,PAYS_MERCHANT,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000006-LOCATED_IN,ACC:AC00393,GEO:1771,Account,GeoRegion,LOCATED_IN,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000006-RECEIVES_IN_REGION,REC:REC-0275,GEO:1771,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000006,2024-11-04 8:06:36,92.15,ATM,Bengkulu,1771,0,None,0.1424,20.0,test
E-TX000007-TRANSFER_TO,ACC:AC00199,REC:REC-0064,Account,RecipientAccount,TRANSFER_TO,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000007-USES_DEVICE,ACC:AC00199,DEV:D000241,Account,Device,USES_DEVICE,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000007-USES_IP,ACC:AC00199,IP:140.212.253.222,Account,IP,USES_IP,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000007-PAYS_MERCHANT,ACC:AC00199,MER:M019,Account,Merchant,PAYS_MERCHANT,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000007-LOCATED_IN,ACC:AC00199,GEO:6271,Account,GeoRegion,LOCATED_IN,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000007-RECEIVES_IN_REGION,REC:REC-0064,GEO:6271,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000007,2024-11-04 8:10:09,7.08,ATM,Palangka Raya,6271,0,None,0.0982,10.0,train
E-TX000008-TRANSFER_TO,ACC:AC00069,REC:REC-0194,Account,RecipientAccount,TRANSFER_TO,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000008-USES_DEVICE,ACC:AC00069,DEV:D000500,Account,Device,USES_DEVICE,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000008-USES_IP,ACC:AC00069,IP:92.214.76.157,Account,IP,USES_IP,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000008-PAYS_MERCHANT,ACC:AC00069,MER:M020,Account,Merchant,PAYS_MERCHANT,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000008-LOCATED_IN,ACC:AC00069,GEO:3276,Account,GeoRegion,LOCATED_IN,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000008-RECEIVES_IN_REGION,REC:REC-0194,GEO:3276,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000008,2024-11-04 8:10:55,171.42,Branch,Depok,3276,0,None,0.0871,10.0,train
E-TX000009-TRANSFER_TO,ACC:AC00135,REC:REC-0041,Account,RecipientAccount,TRANSFER_TO,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000009-USES_DEVICE,ACC:AC00135,DEV:D000690,Account,Device,USES_DEVICE,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000009-USES_IP,ACC:AC00135,IP:24.148.92.177,Account,IP,USES_IP,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000009-PAYS_MERCHANT,ACC:AC00135,MER:M035,Account,Merchant,PAYS_MERCHANT,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000009-LOCATED_IN,ACC:AC00135,GEO:3172,Account,GeoRegion,LOCATED_IN,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000009-RECEIVES_IN_REGION,REC:REC-0041,GEO:3172,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000009,2024-11-04 8:11:14,106.23,Branch,Jakarta Timur,3172,0,None,0.2546,30.0,train
E-TX000010-TRANSFER_TO,ACC:AC00385,REC:REC-0283,Account,RecipientAccount,TRANSFER_TO,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000010-USES_DEVICE,ACC:AC00385,DEV:D000199,Account,Device,USES_DEVICE,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000010-USES_IP,ACC:AC00385,IP:32.169.88.41,Account,IP,USES_IP,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000010-PAYS_MERCHANT,ACC:AC00385,MER:M007,Account,Merchant,PAYS_MERCHANT,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000010-LOCATED_IN,ACC:AC00385,GEO:7171,Account,GeoRegion,LOCATED_IN,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000010-RECEIVES_IN_REGION,REC:REC-0283,GEO:7171,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000010,2024-11-04 8:06:32,815.96,ATM,Manado,7171,0,None,0.3137,40.0,train
E-TX000011-TRANSFER_TO,ACC:AC00150,REC:REC-0151,Account,RecipientAccount,TRANSFER_TO,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000011-USES_DEVICE,ACC:AC00150,DEV:D000205,Account,Device,USES_DEVICE,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000011-USES_IP,ACC:AC00150,IP:213.15.9.253,Account,IP,USES_IP,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000011-PAYS_MERCHANT,ACC:AC00150,MER:M073,Account,Merchant,PAYS_MERCHANT,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000011-LOCATED_IN,ACC:AC00150,GEO:1871,Account,GeoRegion,LOCATED_IN,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000011-RECEIVES_IN_REGION,REC:REC-0151,GEO:1871,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000011,2024-11-04 8:06:45,17.78,Online,Bandar Lampung,1871,0,None,0.117,10.0,train
E-TX000012-TRANSFER_TO,ACC:AC00459,REC:REC-0186,Account,RecipientAccount,TRANSFER_TO,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000012-USES_DEVICE,ACC:AC00459,DEV:D000589,Account,Device,USES_DEVICE,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000012-USES_IP,ACC:AC00459,IP:116.175.11.222,Account,IP,USES_IP,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000012-PAYS_MERCHANT,ACC:AC00459,MER:M030,Account,Merchant,PAYS_MERCHANT,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000012-LOCATED_IN,ACC:AC00459,GEO:6371,Account,GeoRegion,LOCATED_IN,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000012-RECEIVES_IN_REGION,REC:REC-0186,GEO:6371,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000012,2024-11-04 8:07:12,190.02,Online,Banjarmasin,6371,0,None,0.2744,30.0,train
E-TX000013-TRANSFER_TO,ACC:AC00392,REC:REC-0296,Account,RecipientAccount,TRANSFER_TO,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000013-USES_DEVICE,ACC:AC00392,DEV:D000032,Account,Device,USES_DEVICE,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000013-USES_IP,ACC:AC00392,IP:210.98.198.143,Account,IP,USES_IP,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000013-PAYS_MERCHANT,ACC:AC00392,MER:M057,Account,Merchant,PAYS_MERCHANT,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000013-LOCATED_IN,ACC:AC00392,GEO:3374,Account,GeoRegion,LOCATED_IN,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000013-RECEIVES_IN_REGION,REC:REC-0296,GEO:3374,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000013,2024-11-04 8:08:38,494.52,Branch,Semarang,3374,0,None,0.2567,30.0,train
E-TX000014-TRANSFER_TO,ACC:AC00264,REC:REC-0099,Account,RecipientAccount,TRANSFER_TO,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000014-USES_DEVICE,ACC:AC00264,DEV:D000054,Account,Device,USES_DEVICE,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000014-USES_IP,ACC:AC00264,IP:193.83.0.183,Account,IP,USES_IP,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000014-PAYS_MERCHANT,ACC:AC00264,MER:M025,Account,Merchant,PAYS_MERCHANT,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000014-LOCATED_IN,ACC:AC00264,GEO:6371,Account,GeoRegion,LOCATED_IN,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000014-RECEIVES_IN_REGION,REC:REC-0099,GEO:6371,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000014,2024-11-04 8:07:06,781.76,ATM,Banjarmasin,6371,0,None,0.4832,55.0,test
E-TX000015-TRANSFER_TO,ACC:AC00085,REC:REC-0036,Account,RecipientAccount,TRANSFER_TO,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000015-USES_DEVICE,ACC:AC00085,DEV:D000309,Account,Device,USES_DEVICE,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000015-USES_IP,ACC:AC00085,IP:188.124.181.12,Account,IP,USES_IP,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000015-PAYS_MERCHANT,ACC:AC00085,MER:M017,Account,Merchant,PAYS_MERCHANT,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000015-LOCATED_IN,ACC:AC00085,GEO:1571,Account,GeoRegion,LOCATED_IN,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000015-RECEIVES_IN_REGION,REC:REC-0036,GEO:1571,RecipientAccount,GeoRegion,RECEIVES_IN_REGION,TX000015,2024-11-04 8:10:09,166.99,Online,Jambi,1571,0,None,0.1867,20.0,train
E-TX000016-TRANSFER_TO,ACC:AC00270,REC:REC-0024,Account,RecipientAccount,TRANSFER_TO,TX000016,2024-11-04 8:12:19,465.45,ATM,Palembang,1671,0,None,0.1535,20.0,train
E-TX000016-USES_DEVICE,ACC:AC00270,DEV:D000466,Account,Device,USES_DEVICE,TX000016,2024-11-04 8:12:19,465.45,ATM,Palembang,1671,0,None,0.1535,20.0,train
