NodeID,NodeType,TxCount,FraudTxCount,TotalAmount,AvgRiskScore,MaxRuleRiskScore,UniqueAccounts,PrimaryLocation,Split,OutDegree,InDegree,FraudRelatedLabel,FraudRingLabel_Seed,GraphRiskScore_Seed
ACC:AC00001,Account,2,0,260.76,0.2862,60.0,1,Banda Aceh,train,10,0,0,0,0.2574
ACC:AC00002,Account,7,0,2056.21,0.22412857142857143,50.0,1,Balikpapan,train,34,0,0,0,0.3233
ACC:AC00003,Account,5,1,1286.51,0.32203333333333334,85.0,1,Surakarta,train,26,0,1,0,0.4271
ACC:AC00004,Account,8,0,2118.46,0.24864999999999998,50.0,1,Semarang,train,39,0,0,0,0.3368
ACC:AC00005,Account,9,0,3131.77,0.25745555555555555,65.0,1,Ambon,train,45,0,0,0,0.3416
ACC:AC00006,Account,4,0,1017.72,0.1537,20.0,1,Banda Aceh,train,19,0,0,0,0.2745
ACC:AC00007,Account,5,0,1544.11,0.17778,45.0,1,Balikpapan,train,25,0,0,0,0.2978
ACC:AC00008,Account,1,0,76.16,0.2999,40.0,1,Pontianak,validation,5,0,0,0,0.2149
ACC:AC00009,Account,5,0,984.08,0.22826,65.0,1,Banda Aceh,train,24,0,0,0,0.3255
ACC:AC00010,Account,7,1,2768.67,0.32452857142857144,75.0,1,Ambon,train,35,0,1,0,0.4285
ACC:AC00011,Account,7,1,2438.26,0.37817142857142855,90.0,1,Jambi,test,32,0,1,0,0.458
ACC:AC00012,Account,6,0,2067.78,0.2661,50.0,1,Balikpapan,train,30,0,0,0,0.3464
ACC:AC00013,Account,8,0,1631.28,0.1824125,30.0,1,Palangka Raya,train,38,0,0,0,0.3003
ACC:AC00014,Account,9,0,3134.2799999999997,0.3646111111111111,65.0,1,Balikpapan,train,43,0,0,0,0.4005
ACC:AC00015,Account,4,0,1148.74,0.20235,50.0,1,Jambi,train,20,0,0,0,0.3113
ACC:AC00016,Account,6,0,2271.9700000000003,0.24926666666666666,75.0,1,Banjarmasin,train,30,0,0,0,0.3371
ACC:AC00017,Account,5,0,1133.45,0.24379999999999996,50.0,1,Bandar Lampung,train,25,0,0,0,0.3341
ACC:AC00018,Account,3,0,1658.6699999999998,0.3266,70.0,1,Jayapura,train,15,0,0,0,0.3296
ACC:AC00019,Account,4,0,1239.65,0.21806,60.0,1,Padang,train,21,0,0,0,0.3199
ACC:AC00020,Account,9,0,3788.01,0.2220111111111111,65.0,1,Jakarta Timur,train,44,0,0,0,0.3221
ACC:AC00021,Account,8,0,4263.34,0.2551875,60.0,1,Bengkulu,train,40,0,0,0,0.3404
ACC:AC00022,Account,4,0,775.6800000000001,0.19715,45.0,1,Ambon,train,20,0,0,0,0.3084
ACC:AC00023,Account,6,0,1251.74,0.2235,45.0,1,Surakarta,train,29,0,0,0,0.3229
ACC:AC00024,Account,5,0,1426.94,0.19206,30.0,1,Denpasar,train,25,0,0,0,0.3056
ACC:AC00025,Account,2,0,415.37,0.1951,30.0,1,Jayapura,test,10,0,0,0,0.2073
ACC:AC00026,Account,6,0,952.11,0.18264999999999998,30.0,1,Bandar Lampung,train,28,0,0,0,0.3005
ACC:AC00027,Account,3,0,557.54,0.14596666666666666,20.0,1,Bengkulu,test,15,0,0,0,0.2303
ACC:AC00028,Account,3,1,2170.17,0.33580000000000004,70.0,1,Denpasar,test,15,0,1,0,0.3847
ACC:AC00029,Account,6,1,1942.1200000000001,0.2799333333333333,60.0,1,Balikpapan,train,30,0,1,0,0.404
ACC:AC00030,Account,9,0,2969.7,0.16845555555555555,50.0,1,Bandung,train,45,0,0,0,0.2927
ACC:AC00032,Account,9,0,3347.26,0.24175555555555558,50.0,1,Jakarta Barat,train,44,0,0,0,0.333
ACC:AC00033,Account,6,0,900.99,0.17759999999999998,60.0,1,Denpasar,train,29,0,0,0,0.2977
ACC:AC00034,Account,4,0,1007.9000000000001,0.235825,50.0,1,Banjarmasin,train,20,0,0,0,0.3297
ACC:AC00035,Account,9,0,2151.17,0.23848888888888886,50.0,1,Kupang,train,44,0,0,0,0.3312
ACC:AC00036,Account,5,0,1608.4,0.15366,20.0,1,Ambon,train,25,0,0,0,0.2845
ACC:AC00037,Account,2,0,253.25,0.2367,50.0,1,Ambon,train,10,0,0,0,0.2302
ACC:AC00038,Account,1,0,301.73,0.0827,10.0,1,Jakarta Barat,train,5,0,0,0,0.0955
ACC:AC00039,Account,7,1,1915.75,0.3554714285714286,85.0,1,Bandar Lampung,train,35,0,1,0,0.4455
ACC:AC00040,Account,5,0,2925.57,0.41482,65.0,1,Bogor,train,23,0,0,0,0.4282
ACC:AC00041,Account,7,0,1157.17,0.258875,55.0,1,Jakarta Utara,train,35,0,0,0,0.3424
ACC:AC00042,Account,5,0,1054.04,0.29710000000000003,50.0,1,Banda Aceh,test,25,0,0,0,0.3634
ACC:AC00043,Account,4,0,2014.75,0.216525,50.0,1,Batam,train,20,0,0,0,0.3191
ACC:AC00044,Account,1,0,487.32,0.1273,20.0,1,Samarinda,train,5,0,0,0,0.12
ACC:AC00045,Account,5,0,1845.12,0.2043,30.0,1,Jakarta Barat,train,24,0,0,0,0.3124
ACC:AC00046,Account,3,0,1069.95,0.2933,50.0,1,Jakarta Barat,train,15,0,0,0,0.3113
ACC:AC00047,Account,4,1,1612.2,0.44385,85.0,1,Bandung,train,19,0,1,0,0.4841
ACC:AC00048,Account,3,0,1602.27,0.2942,50.0,1,Depok,test,15,0,0,0,0.3118
ACC:AC00049,Account,2,0,1113.77,0.4976,60.0,1,Jakarta Barat,train,10,0,0,0,0.3737
ACC:AC00050,Account,5,0,1019.56,0.29602,70.0,1,Kupang,train,24,0,0,0,0.3628
ACC:AC00051,Account,4,1,949.2,0.2933,70.0,1,Ambon,train,20,0,1,0,0.4113
ACC:AC00052,Account,3,0,424.46999999999997,0.16746666666666665,20.0,1,Bandar Lampung,train,15,0,0,0,0.2421
ACC:AC00053,Account,7,0,703.3100000000001,0.23937142857142857,50.0,1,Manado,train,32,0,0,0,0.3317
ACC:AC00054,Account,9,1,1751.77,0.21147777777777776,60.0,1,Ambon,train,43,0,1,0,0.3663
ACC:AC00055,Account,5,0,941.1099999999999,0.33808000000000005,60.0,1,Kendari,train,23,0,0,0,0.3859
ACC:AC00056,Account,6,0,498.66,0.27723333333333333,60.0,1,Banjarmasin,validation,29,0,0,0,0.3525
ACC:AC00057,Account,5,0,1127.62,0.11961999999999999,20.0,1,Bandar Lampung,train,25,0,0,0,0.2658
ACC:AC00058,Account,7,0,1719.58,0.17705714285714286,30.0,1,Bandar Lampung,train,35,0,0,0,0.2974
ACC:AC00059,Account,4,0,592.97,0.256975,60.0,1,Bogor,train,19,0,0,0,0.3313
ACC:AC00060,Account,4,0,1552.72,0.160825,40.0,1,Banjarmasin,train,20,0,0,0,0.2885
ACC:AC00061,Account,5,0,957.06,0.20800000000000002,30.0,1,Jakarta Utara,train,25,0,0,0,0.3144
ACC:AC00062,Account,3,0,689.82,0.18143333333333334,30.0,1,Manado,train,15,0,0,0,0.2498
ACC:AC00063,Account,10,1,3192.72,0.24203999999999998,70.0,1,Banjarmasin,train,48,0,1,0,0.3831
ACC:AC00064,Account,4,0,1411.05,0.1988,40.0,1,Bekasi,train,20,0,0,0,0.3093
ACC:AC00065,Account,5,0,1100.17,0.17922,30.0,1,Bandung,train,25,0,0,0,0.2986
ACC:AC00066,Account,4,0,863.0699999999999,0.261025,50.0,1,Banda Aceh,train,20,0,0,0,0.3436
ACC:AC00067,Account,6,1,3204.1,0.3052333333333333,60.0,1,Surakarta,train,29,0,1,0,0.4179
ACC:AC00068,Account,4,0,2641.99,0.222375,35.0,1,Banjarmasin,train,20,0,0,0,0.3223
ACC:AC00069,Account,7,0,1617.58,0.1244,30.0,1,Tangerang,train,34,0,0,0,0.2684
ACC:AC00070,Account,8,0,1891.8700000000001,0.247775,60.0,1,Palu,train,38,0,0,0,0.3363
ACC:AC00071,Account,8,2,4050.12,0.4008,65.0,1,Medan,train,39,0,1,0,0.5204
ACC:AC00072,Account,3,0,643.98,0.31106666666666666,50.0,1,Bandung,train,15,0,0,0,0.3211
ACC:AC00073,Account,5,0,1834.82,0.3518,55.0,1,Denpasar,test,25,0,0,0,0.3935
ACC:AC00074,Account,3,0,397.1,0.21906666666666666,50.0,1,Banda Aceh,train,15,0,0,0,0.2705
ACC:AC00075,Account,5,0,1091.8700000000001,0.23102,30.0,1,Depok,train,24,0,0,0,0.3271
ACC:AC00076,Account,7,0,2175.98,0.19945000000000002,40.0,1,Pontianak,train,36,0,0,0,0.3097
ACC:AC00077,Account,6,0,1756.3200000000002,0.22661666666666666,40.0,1,Ambon,train,30,0,0,0,0.3246
ACC:AC00078,Account,6,1,2937.12,0.22743333333333335,60.0,1,Depok,train,30,0,1,0,0.3751
ACC:AC00079,Account,5,0,515.02,0.17948,50.0,1,Palembang,train,24,0,0,0,0.2987
ACC:AC00080,Account,6,0,2238.37,0.24505,60.0,1,Malang,train,28,0,0,0,0.3348
ACC:AC00081,Account,3,0,607.37,0.24563333333333334,45.0,1,Kupang,train,15,0,0,0,0.2851
ACC:AC00082,Account,3,0,722.08,0.21786666666666665,50.0,1,Batam,train,15,0,0,0,0.2698
ACC:AC00083,Account,6,1,2753.38,0.29336666666666666,90.0,1,Semarang,train,29,0,1,0,0.4114
ACC:AC00084,Account,2,0,502.03,0.1671,20.0,1,Ambon,train,10,0,0,0,0.1919
ACC:AC00085,Account,6,0,1695.71,0.19001666666666664,40.0,1,Malang,train,27,0,0,0,0.3045
ACC:AC00086,Account,7,1,3190.07,0.37135714285714283,75.0,1,Makassar,train,34,0,1,0,0.4542
ACC:AC00087,Account,9,1,1842.47,0.25770000000000004,75.0,1,Jakarta Utara,train,43,0,1,0,0.3917
ACC:AC00088,Account,2,0,513.54,0.1392,20.0,1,Malang,test,10,0,0,0,0.1766
ACC:AC00089,Account,5,0,1201.26,0.28732,60.0,1,Bengkulu,train,25,0,0,0,0.358
ACC:AC00090,Account,8,0,2223.8,0.17704999999999999,30.0,1,Balikpapan,train,40,0,0,0,0.2974
ACC:AC00091,Account,3,0,1077.01,0.3983666666666667,60.0,1,Ambon,train,15,0,0,0,0.3691
ACC:AC00092,Account,8,0,2317.6,0.2115875,40.0,1,Jakarta Utara,train,39,0,0,0,0.3164
ACC:AC00093,Account,9,2,3165.4300000000003,0.3764777777777778,80.0,1,Banjarmasin,train,44,0,1,0,0.5071
ACC:AC00094,Account,4,0,224.01999999999998,0.149275,20.0,1,Denpasar,test,20,0,0,0,0.2821
ACC:AC00095,Account,8,0,3181.87,0.252625,60.0,1,Banda Aceh,train,40,0,0,0,0.3389
ACC:AC00096,Account,3,0,897.9,0.2587333333333333,40.0,1,Ambon,train,15,0,0,0,0.2923
ACC:AC00097,Account,3,0,261.72,0.1431,20.0,1,Bengkulu,train,15,0,0,0,0.2287
ACC:AC00098,Account,5,1,3212.57,0.39186,55.0,1,Bandung,train,25,0,1,0,0.4655
ACC:AC00099,Account,4,0,2510.98,0.243125,30.0,1,Bengkulu,train,20,0,0,0,0.3337
ACC:AC00100,Account,3,0,447.33000000000004,0.14713333333333334,20.0,1,Jakarta Pusat,test,14,0,0,0,0.2209
ACC:AC00101,Account,3,0,299.9,0.18913333333333335,40.0,1,Jakarta Utara,train,15,0,0,0,0.254
ACC:AC00102,Account,5,0,826.62,0.25834,60.0,1,Ambon,train,25,0,0,0,0.3421
ACC:AC00103,Account,5,0,2145.0,0.17078,30.0,1,Bandung,test,25,0,0,0,0.2939
ACC:AC00104,Account,1,0,275.2,0.1014,10.0,1,Kupang,train,5,0,0,0,0.1058
ACC:AC00105,Account,3,0,381.82,0.23206666666666667,35.0,1,Banda Aceh,test,15,0,0,0,0.2776
ACC:AC00106,Account,6,1,2064.18,0.21635000000000001,50.0,1,Batam,train,30,0,1,0,0.369
ACC:AC00107,Account,5,1,2980.3199999999997,0.37594000000000005,75.0,1,Jakarta Barat,train,24,0,1,0,0.4568
ACC:AC00108,Account,6,1,1920.36,0.35195,100.0,1,Batam,train,30,0,1,0,0.4436
ACC:AC00109,Account,2,0,418.91999999999996,0.27990000000000004,50.0,1,Bogor,train,10,0,0,0,0.2539
ACC:AC00110,Account,8,0,2507.77,0.2613,60.0,1,Jakarta Barat,train,39,0,0,0,0.3437
ACC:AC00111,Account,7,1,3071.73,0.3376571428571428,60.0,1,Jakarta Utara,train,33,0,1,0,0.4357
ACC:AC00112,Account,1,0,554.15,0.0746,10.0,1,Mataram,train,5,0,0,0,0.091
ACC:AC00113,Account,4,0,1515.1100000000001,0.21749999999999997,55.0,1,Denpasar,train,20,0,0,0,0.3196
ACC:AC00114,Account,7,0,2221.26,0.22951428571428573,60.0,1,Banda Aceh,train,35,0,0,0,0.3262
ACC:AC00115,Account,3,0,752.09,0.26193333333333335,45.0,1,Bandung,train,15,0,0,0,0.2941
ACC:AC00116,Account,6,0,1536.79,0.19635714285714287,60.0,1,Kupang,validation,31,0,0,0,0.308
ACC:AC00117,Account,1,0,55.32,0.1008,10.0,1,Jakarta Barat,test,5,0,0,0,0.1054
ACC:AC00118,Account,4,0,1250.6,0.12819999999999998,20.0,1,Batam,test,19,0,0,0,0.2605
ACC:AC00119,Account,6,1,1639.27,0.36671666666666664,65.0,1,Kendari,train,29,0,1,0,0.4517
ACC:AC00120,Account,6,0,1744.58,0.24913333333333335,50.0,1,Bandung,train,30,0,0,0,0.337
ACC:AC00121,Account,2,0,294.73,0.3103,50.0,1,Palangka Raya,train,10,0,0,0,0.2707
ACC:AC00122,Account,6,0,1556.39,0.2437666666666667,60.0,1,Bandung,train,30,0,0,0,0.3341
ACC:AC00123,Account,4,0,919.0600000000001,0.20852500000000002,40.0,1,Jakarta Selatan,train,20,0,0,0,0.3147
ACC:AC00124,Account,4,1,1190.82,0.444775,80.0,1,Bandung,test,20,0,1,0,0.4946
ACC:AC00125,Account,6,0,1005.6899999999999,0.20083333333333334,50.0,1,Batam,train,30,0,0,0,0.3105
ACC:AC00126,Account,7,0,1519.86,0.20222857142857142,50.0,1,Banda Aceh,test,33,0,0,0,0.3112
ACC:AC00127,Account,2,0,545.4499999999999,0.09765,10.0,1,Malang,test,9,0,0,0,0.1437
ACC:AC00128,Account,7,1,3224.8900000000003,0.35272857142857145,65.0,1,Bogor,train,35,0,1,0,0.444
ACC:AC00129,Account,4,0,1095.42,0.28585,60.0,1,Jakarta Utara,train,20,0,0,0,0.3572
ACC:AC00130,Account,9,0,2687.38,0.26744444444444443,45.0,1,Jakarta Utara,train,44,0,0,0,0.3471
ACC:AC00131,Account,9,0,2829.42,0.23771111111111112,65.0,1,Jakarta Timur,train,44,0,0,0,0.3307
ACC:AC00132,Account,4,0,385.93,0.214025,50.0,1,Ambon,train,20,0,0,0,0.3177
ACC:AC00133,Account,7,0,1653.33,0.2791,60.0,1,Palangka Raya,train,36,0,0,0,0.3535
ACC:AC00134,Account,1,0,49.59,0.0908,10.0,1,Malang,train,5,0,0,0,0.0999
ACC:AC00135,Account,2,0,145.89,0.34135,50.0,1,Bandung,train,10,0,0,0,0.2877
ACC:AC00136,Account,8,0,4029.91,0.27947500000000003,65.0,1,Bengkulu,train,39,0,0,0,0.3537
ACC:AC00137,Account,3,0,377.17,0.22253333333333333,55.0,1,Jakarta Barat,train,15,0,0,0,0.2724
ACC:AC00138,Account,2,1,416.4,0.5169,75.0,1,Pekanbaru,train,10,0,1,0,0.4343
