TransactionID,AccountID,RecipientAccountID,DeviceID,MerchantID,Split,CustomerAge,TransactionAmount,AccountBalance,TransactionDuration,LoginAttempts,AmountToBalanceRatio,LogTransactionAmount,BalanceAfterTransaction,HoursSincePreviousTransaction,TransactionHour,TransactionDayOfWeek,IsWeekend,IsNightTransaction,IsHighBalanceCashout,IsFastTransaction,IsManyLoginAttempts,ThreatIntelFlagInt,TransactionAmountZScore,RecipientUniqueSendersTotal,RecipientTransactionCountTotal,DeviceUniqueAccountsTotal,IPUniqueAccountsTotal,MerchantTransactionCountTotal,AccountTxCount24h,AccountAmountSum24h,AccountTxCount7d,RecipientUniqueSenders7d,RecipientTxCount7d,DeviceUniqueAccounts7d,IPUniqueAccounts7d,RuleRiskScore,IsFraud,FraudType,AnalystStatus,FraudScore_Probability_Seed,TransactionType_Credit,TransactionType_Debit,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_Ambon,Location_Balikpapan,Location_Banda Aceh,Location_Bandar Lampung,Location_Bandung,Location_Banjarmasin,Location_Batam,Location_Bekasi,Location_Bengkulu,Location_Bogor,Location_Denpasar,Location_Depok,Location_Jakarta Barat,Location_Jakarta Pusat,Location_Jakarta Selatan,Location_Jakarta Timur,Location_Jakarta Utara,Location_Jambi,Location_Jayapura,Location_Kendari,Location_Kupang,Location_Makassar,Location_Malang,Location_Manado,Location_Mataram,Location_Medan,Location_Padang,Location_Palangka Raya,Location_Palembang,Location_Palu,Location_Pekanbaru,Location_Pontianak,Location_Samarinda,Location_Semarang,Location_Solo,Location_Sorong,Location_Surabaya,Location_Surakarta,Location_Tangerang,Location_Tangerang Selatan,Location_Yogyakarta,Province_Aceh,Province_Bali,Province_Banten,Province_Bengkulu,Province_DI Yogyakarta,Province_DKI Jakarta,Province_Jambi,Province_Jawa Barat,Province_Jawa Tengah,Province_Jawa Timur,Province_Kalimantan Barat,Province_Kalimantan Selatan,Province_Kalimantan Tengah,Province_Kalimantan Timur,Province_Kepulauan Riau,Province_Lampung,Province_Maluku,Province_Nusa Tenggara Barat,Province_Nusa Tenggara Timur,Province_Papua,Province_Papua Barat Daya,Province_Riau,Province_Sulawesi Selatan,Province_Sulawesi Tengah,Province_Sulawesi Tenggara,Province_Sulawesi Utara,Province_Sumatera Barat,Province_Sumatera Selatan,Province_Sumatera Utara,FraudClassTarget,Split_BiasAware
TX000001,AC00128,REC-0184,D000380,M015,train,70.0,14.09,5112.21,81.0,1.0,0.0027561465589246,2.714032272779757,5098.12,13743.648333333333,8,0,0,0,0,0,0,0,-0.9720805266815916,7,7,6,3,32,2.0,1823.5,2.0,2.0,2.0,1.0,1.0,20.0,0,,Auto-Approved,0.1826,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,validation
TX000002,AC00455,REC-0177,D000051,M052,train,68.0,376.24,13758.91,141.0,1.0,0.0273451894081725,5.932881589675684,13382.67,11895.42111111111,8,0,0,0,0,0,0,0,0.2732724545296658,12,12,5,4,27,3.0,1774.66,3.0,4.0,4.0,0.0,0.0,30.0,0,,Auto-Approved,0.229,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,validation
TX000003,AC00019,REC-0136,D000235,M009,train,19.0,126.29,1122.35,56.0,1.0,0.1125228315587829,4.846467947882343,996.06,11581.84888888889,8,0,0,0,0,0,0,1,-0.5862497811565243,17,17,5,6,29,0.0,0.0,0.0,2.0,2.0,1.0,2.0,60.0,0,,Auto-Approved,0.5138,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,train
TX000004,AC00070,REC-0023,D000187,M002,train,26.0,184.5,8569.06,25.0,1.0,0.0215309497191057,5.22305488204749,8384.56,13167.615277777775,8,0,0,0,0,0,0,0,-0.3860785895610327,10,10,5,8,30,3.0,1284.19,3.0,4.0,4.0,1.0,5.0,40.0,0,,Auto-Approved,0.3585,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Legitimate,train
TX000005,AC00411,REC-0236,D000308,M091,train,45.0,13.45,7429.4,198.0,1.0,0.0018103749966349,2.670694414558441,7415.95,9230.254166666668,8,0,0,0,0,0,0,1,-0.9742813437683656,10,10,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,,Cleared,0.3662,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,test
TX000006,AC00393,REC-0275,D000579,M054,test,18.0,92.15,781.68,172.0,1.0,0.1178871149319414,4.5342110970475975,689.53,13934.859722222222,8,0,0,0,0,0,0,0,-0.7036496176291249,10,10,4,3,26,1.0,392.05,1.0,1.0,1.0,0.0,0.0,20.0,0,,Auto-Approved,0.1424,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,train
TX000007,AC00199,REC-0064,D000241,M019,train,37.0,7.08,13316.71,139.0,1.0,0.000531662850659,2.089391872533004,13309.63,15063.555833333334,8,0,0,0,0,0,0,0,-0.996186351335163,5,6,4,4,29,0.0,0.0,0.0,2.0,2.0,3.0,0.0,10.0,0,,Auto-Approved,0.0982,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,test
TX000008,AC00069,REC-0194,D000500,M020,train,67.0,171.42,2796.24,291.0,1.0,0.0613037507510084,5.1499333607817785,2624.82,13094.382222222222,8,0,0,0,0,0,0,0,-0.4310577887719763,5,5,2,7,22,6.0,1446.16,6.0,4.0,4.0,1.0,5.0,10.0,0,,Cleared,0.0871,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,test
TX000009,AC00135,REC-0041,D000690,M035,train,51.0,106.23,9095.14,86.0,1.0,0.0116798641912054,4.674976060232054,8988.91,14247.191111111111,8,0,0,0,0,0,0,0,-0.6552316417200968,12,12,6,5,21,1.0,39.66,1.0,10.0,10.0,4.0,3.0,30.0,0,,Auto-Approved,0.2546,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legitimate,train
TX000010,AC00385,REC-0283,D000199,M007,train,55.0,815.96,1021.88,120.0,1.0,0.7984890593807492,6.705590134053119,205.92,14007.993055555557,8,0,0,0,0,0,0,0,1.7853713442113284,13,13,4,6,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0,,Auto-Approved,0.3137,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Legitimate,train
